product_name,model,SKU,price,discount
"Sony - 65"" Class X85J Series LED 4K UHD Smart Google TV",KD65X85J,6455578,"1,099.99",500
"Insignia™ - 55"" Class F30 Series LED 4K UHD Smart Fire TV",NS-55F301NA22,6450247,389.99,160
"TCL - 55"" Class 4 Series LED 4K UHD Smart Android TV",55S434,6422762,399.99,100
"Samsung - 50"" Class 8000 Series LED 4K UHD Smart Tizen TV",UN50AU8000FXZA,6452997,529.99,40
"Samsung - 50"" Class 7 Series LED 4K UHD Smart Tizen TV",UN50TU7000FXZA,6401738,479.99,
"LG - 65"" Class C1 Series OLED 4K UHD Smart webOS TV",OLED65C1PUB,6453312,"1,799.99",700
"Samsung - 65"" Class 7 Series LED 4K UHD Smart Tizen TV",UN65TU7000FXZA,6401722,649.99,
"Hisense - 70"" Class A6G Series LED 4K UHD Smart Android TV",70A6G,6458072,549.99,300
"Samsung - 40"" Class 5 Series LED Full HD Smart Tizen TV",UN40N5200AFXZA,6360291,299.99,
"Insignia™ - 50"" Class F30 Series LED 4K UHD Smart Fire TV",NS-50F301NA22,6456970,349.99,100
"Samsung - 55"" Class 7 Series LED 4K UHD Smart Tizen TV",UN55TU7000FXZA,6401735,499.99,
"Sony - 65"" Class BRAVIA XR A80J Series OLED 4K UHD Smart Google TV",XR65A80J,6455218,,
Samsung - 70” Class 7 Series LED 4K UHD Smart Tizen TV,UN70TU7000BXZA,6429416,749.99,
"Samsung - 43"" Class 7 Series LED 4K UHD Smart Tizen TV",UN43TU7000FXZA,6401740,399.99,
LG - 43” Class UP7000 Series LED 4K UHD Smart webOS TV,43UP7000PUA,6453968,379.99,
"Samsung - 65"" Class Q80A Series QLED 4K UHD Smart Tizen TV",QN65Q80AAFXZA,6451478,"1,299.99",400
"Samsung - 55"" Class 8000 Series LED 4K UHD Smart Tizen TV",UN55AU8000FXZA,6452996,599.99,30
"Samsung - 50"" Class Q60A Series QLED 4K UHD Smart Tizen TV",QN50Q60AAFXZA,6453028,679.99,20
"Samsung - 65"" Class 8000 Series LED 4K UHD Smart Tizen TV",UN65AU8000FXZA,6453024,749.99,50
"Insignia™ - 39"" Class F20 Series LED HD Smart Fire TV",NS-39DF310NA21,6400439,249.99,
"Toshiba - 32"" Class LED HD Smart FireTV",32LF221U21,6398132,159.99,40
"Insignia™ - 65"" Class F30 Series LED 4K UHD Smart Fire TV",NS-65DF710NA21,6405232,519.99,180
"Samsung - 82"" Class Q60T Series LED 4K UHD Smart Tizen TV",QN82Q60TAFXZA,6451519,,
"Sony - 65"" Class BRAVIA XR X90J Series LED 4K UHD Smart Google TV",XR65X90J,6453208,"1,399.99",200
