product_name,model,SKU,price,discount,original_price
"Sony - 85"" Class X85J Series LED 4K UHD Smart Google TV",KD85X85J,6453209,"2,499.99
",700,"3,199.99"
LG - 60” Class UP8000 Series LED 4K UHD Smart webOS TV,60UP8000PUA,6453626,"659.99
",40,699.99
"TCL - 43"" Class 4-Series LED 4K UHD HDR Smart Android TV",43S434,6449500,"299.99
",50,349.99
"Toshiba - 32"" Class LED HD Smart FireTV",32LF221U21,6398132,"179.99
",20,199.99
"Samsung - 65"" Class 7 Series LED 4K UHD Smart Tizen TV",UN65TU7000FXZA,6401722,"649.99
",,
Samsung - 70” Class 7 Series LED 4K UHD Smart Tizen TV,UN70TU7000BXZA,6429416,"749.99
",,
Epson - Home Cinema 3800 4K 3LCD Projector with High Dynamic Range - White,HOME CINEMA 3800,6366530,"1,599.99
",100,"1,699.99"
LG - 43” Class UP7000 Series LED 4K UHD Smart webOS TV,43UP7000PUA,6453968,"379.99
",,
"Samsung - 43"" Class 7 Series LED 4K UHD Smart Tizen TV",UN43TU7000FXZA,6401740,"399.99
",,
"Samsung - 55"" Class 7 Series LED 4K UHD Smart Tizen TV",UN55TU7000FXZA,6401735,"499.99
",,
"LG - 65"" Class C1 Series OLED 4K UHD Smart webOS TV",OLED65C1PUB,6453312,"2,099.99
",400,"2,499.99"
"Samsung - 50"" Class 7 Series LED 4K UHD Smart Tizen TV",UN50TU7000FXZA,6401738,"479.99
",,
"Hisense - 55"" Class U6G Series Quantum 4K ULED Android TV",55U6G,6455171,"549.99
",100,649.99
Epson - Home Cinema 880 1080p 3LCD Projector - White,EPSON HC880 PROJECTOR V11H979020,6428460,"549.99
",50,599.99
"Samsung - 40"" Class 5 Series LED Full HD Smart Tizen TV",UN40N5200AFXZA,6360291,"299.99
",,
"Toshiba - 55"" Class LED 4K UHD Smart Fire TV",55LF621U21,6394762,"409.99
",70,479.99
"Samsung - 55"" Class 8000 Series LED 4K UHD Smart Tizen TV",UN55AU8000FXZA,6452996,"599.99
",30,629.99
LG - PH510P HD LED 3D Portable CineBeam Projector - White,PH510P,6446229,"424.99
",75,499.99
"Samsung - 65"" Class 8000 Series LED 4K UHD Smart Tizen TV",UN65AU8000FXZA,6453024,"749.99
",50,799.99
"Samsung - 50"" Class Q60A Series QLED 4K UHD Smart Tizen TV",QN50Q60AAFXZA,6453028,"669.99
",30,699.99
Samsung - 60” Class TU7000 LED 4K UHD Smart Tizen TV,UN60TU7000FXZA,6465636,"599.99
",,
"Sony - 65"" Class BRAVIA XR A80J Series OLED 4K UHD Smart Google TV",XR65A80J,6455218,"2,299.99
",200,"2,499.99"
"Samsung - 65"" Class Q80A Series QLED 4K UHD Smart Tizen TV",QN65Q80AAFXZA,6451478,"1,299.99
",400,"1,699.99"
"Insignia™ - 55"" Class F30 Series LED 4K UHD Smart Fire TV",NS-55F301NA22,6450247,"399.99
",150,549.99
